"","richness","abundance","hill1","z","p"
"35",17,6219,4.59569544639477,-4.83559921098858,6.63725729468346e-07
"36",17,9296,4.39732190674357,-5.36240325942444,4.10609758650757e-08
"37",17,16821,4.1541596309981,-5.34542380459791,4.51028696383434e-08
"38",18,1228,6.03661369083866,-4.02118867506397,2.89526003940956e-05
"39",18,6337,4.8315212379545,-5.14490903102815,1.33825238274416e-07
"40",18,7840,4.71831851363703,-5.4151719742684,3.06149134028118e-08
"41",19,1904,5.96357528278304,-4.4982245789266,3.42616464403137e-06
"42",19,7475,4.99035473659532,-5.65470228841611,7.80583169244895e-09
"43",19,8851,4.89615430584429,-5.34196834159559,4.59713575000197e-08
"44",19,13962,4.66722161883117,-5.62199038979696,9.43848842987955e-09
"45",20,5875,5.38120918598312,-5.36704779930297,4.00179256690451e-08
"46",20,7559,5.23031384334009,-5.78307884430735,3.66728324120088e-09
"47",20,10243,5.05387379496769,-5.64374935800746,8.31931250401683e-09
"48",20,13832,4.89459817573858,-5.67063531389198,7.11344754251832e-09
"49",20,18295,4.75617349507009,-6.08748570952344,5.73488050183137e-10
"50",22,4635,6.09834231676202,-5.42923930297145,2.82973782534577e-08
"51",22,8924,5.61488471852065,-5.80039755409378,3.30789411929577e-09
"52",22,9164,5.59212211183525,-6.07205883569909,6.31403228349654e-10
"53",22,10652,5.50562330377927,-5.97570102207919,1.14551417568836e-09
"54",22,15725,5.27601068395398,-6.26639373035546,1.84752673924216e-10
"55",22,16256,5.25804151460994,-6.1026035524194,5.21772283889851e-10
"56",22,19128,5.16935515742082,-6.29630377358081,1.52413364056783e-10
"57",23,4607,6.37405951957963,-5.68915058194321,6.38364242834371e-09
"58",23,9329,5.8363425517172,-5.85151288382712,2.43560770381282e-09
"59",23,18238,5.41367524705108,-6.42410404369539,6.63242282712856e-11
"60",25,2244,7.73566863802583,-4.87488745677231,5.44352523350183e-07
"61",26,6774,6.86827199782813,-5.79031871571771,3.51264935300955e-09
"62",26,9708,6.5634701778944,-6.20787977345672,2.68521049566932e-10
"63",26,12537,6.36317604529375,-6.59443014787288,2.13446171854799e-11
"64",26,17697,6.11894377054068,-6.66342908205716,1.33755580833053e-11
"65",27,4324,7.58644366179234,-5.70504008327099,5.81578568067421e-09
"66",27,8067,6.9908841578947,-6.09177199828389,5.58338264212095e-10
"67",27,16545,6.39062196996022,-6.76271025562175,6.77169610464403e-12
"68",27,17071,6.36976151202111,-6.82494196662932,4.39804331293083e-12
"69",28,9046,7.13066903360628,-6.29942074446319,1.49380006540051e-10
"70",28,19882,6.49012777154546,-6.97279003138306,1.55358100842141e-12
"71",29,7616,7.56458831973035,-6.44067584259676,5.9471331429699e-11
"72",29,15535,6.9221325898389,-6.89958744555188,2.60768884020731e-12
"73",29,18518,6.77917309361908,-6.88115689036206,2.96842105363263e-12
"74",30,3293,8.85162043403043,-5.61251650408445,9.97025922561148e-09
"75",31,4417,8.76575837500317,-5.87769871175954,2.08004595413193e-09
"76",31,12363,7.60620238211559,-6.62383127788518,1.75003125254725e-11
"77",31,16612,7.33501202671367,-7.12985783589848,5.0236323085711e-13
"78",32,19680,7.42656529459086,-7.01929794574671,1.11492912582991e-12
"79",33,516,14.074093299106,-2.50833816475379,0.00606502592456363
"80",35,11252,8.74336696033149,-7.06942492469414,7.77885366183278e-13
"81",35,11453,8.71492234715567,-6.86080272865844,3.42373344397978e-12
"82",35,17572,8.25498576131525,-7.43696324387837,5.15131008466895e-14
"83",36,3667,10.5811086023785,-5.73220186625093,4.9567592929324e-09
"84",36,14579,8.70421483492013,-7.30787445315513,1.35700591888341e-13
"85",37,1801,12.3271234011484,-4.72976501949612,1.12389926447983e-06
"86",37,2188,11.9955275786642,-5.09136745719563,1.77745165706199e-07
"87",37,10913,9.29997297498409,-7.21588034168844,2.67930812370689e-13
"88",37,14211,8.98117444788547,-7.25710007008686,1.97738566397263e-13
"89",39,1728,13.2166874335028,-4.57676569629802,2.36109922205298e-06
"90",39,2073,12.8269758872502,-4.90624196831481,4.64189918574096e-07
"91",39,3558,11.6405821083075,-5.82746397770769,2.8137996006413e-09
"92",40,336,19.8600486095552,-0.919127691469317,0.179014393335978
"93",40,5884,11.0440964728707,-6.58997594527952,2.19948921072737e-11
"94",41,15824,9.87182205468439,-7.7868491840489,3.43504375219906e-15
"95",42,5600,11.7431132066121,-6.3362562572421,1.17707563007657e-10
"96",42,16161,10.0935596305249,-8.00416349565239,6.01407469054425e-16
"97",43,13765,10.5809828531389,-7.57392178413994,1.81061244996693e-14
"98",43,14401,10.5228201623166,-7.37461648773604,8.24094066700676e-14
"99",43,18575,10.1687562717797,-8.1858089661206,1.35240250911101e-16
"100",44,6804,11.9971064430584,-7.10755888927083,5.90566728729e-13
"101",46,5237,13.1293030488921,-6.72231426062363,8.94303325682537e-12
"102",46,7170,12.4787035380683,-7.15650865681331,4.13788282921318e-13
"103",46,14215,11.3229067364518,-8.27370981779939,6.4926988634362e-17
"104",46,14378,11.303348182544,-8.11799196048853,2.36980092809468e-16
"105",46,15666,11.1714394748166,-7.64217158844416,1.06794133707722e-14
"106",47,1398,17.1330129964082,-3.73668677240408,9.32304801099739e-05
"107",47,9515,12.261431304305,-7.36148687497701,9.09364502699853e-14
"108",48,1343,17.6952019988613,-3.73056337777946,9.55260370316192e-05
"109",48,3795,14.5013183764748,-6.01886001650818,8.78248418759716e-10
"110",49,2729,15.759346727271,-5.18057808374206,1.10599653852506e-07
"111",49,12174,12.3691255945065,-8.1703768465235,1.53713814894729e-16
"112",49,12509,12.32342073375,-8.3424235973489,3.63915964177431e-17
"113",49,13869,12.1451359816547,-7.88471548640775,1.57626478703016e-15
"114",50,2507,16.4101235696614,-5.21223355907778,9.3290217301496e-08
"115",50,5576,14.2658302213446,-6.78006804052445,6.00596491640323e-12
"116",50,16825,12.0976484581545,-8.10040510432697,2.73882385464089e-16
"117",51,4335,15.1923201235861,-6.17947712039877,3.21571267798757e-10
"118",51,4758,14.9514565782795,-6.14271162605095,4.05622429228624e-10
"119",52,16868,12.6191212401188,-8.53546376783697,6.97971741559347e-18
"120",53,2615,17.4516835829435,-5.14830599499304,1.31424726595852e-07
"121",54,4819,15.8965953198608,-6.55443470560924,2.79265231747215e-11
"122",54,6457,15.1434192196819,-6.90790266341676,2.45935633155766e-12
"123",56,4176,16.9810003231778,-5.96505931681778,1.22272593984132e-09
"124",56,10097,14.7135953468108,-7.86413750293914,1.85824571333323e-15
"125",57,14496,14.2385421507533,-8.41650440056024,1.9394222370141e-17
"126",58,2537,19.3662556398126,-4.91818862259605,4.36743621101685e-07
"127",58,2985,18.824653902514,-5.33572831265188,4.75809012227711e-08
"128",58,11196,15.0616368099316,-8.00601744189063,5.92414647462479e-16
"129",59,1965,20.8221692637572,-3.98171139807629,3.42104141682382e-05
"130",59,18017,14.3315022334062,-8.80518424186453,6.53189042576845e-19
"131",60,7354,16.7099734681996,-7.41834787894633,5.92951394934075e-14
"132",60,7755,16.5584274708701,-7.2587108896089,1.9539836905073e-13
"133",60,16779,14.7472747802418,-8.67390591946861,2.08772665354361e-18
"134",61,16807,15.0028501467753,-8.43700513992799,1.62786075564535e-17
"135",61,17623,14.9208989432833,-8.60162091943501,3.9299016083001e-18
"136",63,7590,17.5521181363345,-7.12449102951201,5.22329966357963e-13
"137",64,8124,17.6537494012619,-7.06685434847056,7.92425710994753e-13
"138",64,11357,16.7674359408162,-8.36113146516324,3.10597881517884e-17
"139",65,569,31.554423473814,-0.41920925423823,0.337531604695877
"140",66,13443,16.9017388379205,-8.21485665268695,1.06208925831869e-16
"141",67,9784,18.0335628004997,-7.707863330873,6.39708258701975e-15
"142",68,6068,19.8319436996423,-6.81377656559669,4.75346620955801e-12
"143",68,6426,19.644344700745,-7.16257776484938,3.95869636489716e-13
"144",68,13268,17.5211052653634,-8.51007257889686,8.69122569089219e-18
"145",68,15295,17.1424231863359,-8.67799815949755,2.0139777908805e-18
"146",69,6539,19.9412702610431,-6.79105131528527,5.56596587637117e-12
"147",69,8032,19.2297283499412,-7.45331053622895,4.55133425260563e-14
"148",69,8627,19.0259587750378,-7.70937450197616,6.32179422736279e-15
"149",70,1412,27.438233289565,-2.58426364911435,0.0048793582114309
"150",71,2870,23.9320289765885,-4.84543399271735,6.31676049670323e-07
"151",72,10060,19.455969263596,-8.16971128970877,1.54564169158396e-16
"152",72,18236,17.790914798702,-9.11317767044865,4.00018217000054e-20
"153",74,9119,20.4069709849297,-7.79581876573437,3.19960884255762e-15
"154",74,9765,20.1620364761125,-7.80420317449214,2.99393298006637e-15
"155",74,12459,19.4109404890868,-8.48566682510815,1.07242587054125e-17
"156",74,19829,18.124184928724,-9.06613196894817,6.16585322766604e-20
"157",75,1415,29.8282012862308,-2.42779478929007,0.00759546794497523
"158",75,7262,21.4902521597157,-7.30459646064242,1.39050051272498e-13
"159",75,13585,19.4487401256333,-8.58675632104667,4.47295478644988e-18
"160",76,622,37.46252798244,-0.114821214491519,0.45429341676738
"161",76,3614,24.7254180528024,-5.2390638483401,8.06965989797094e-08
"162",76,12412,20.025778159771,-8.71534077930656,1.44942675227611e-18
"163",77,19722,18.9515869458573,-9.46540451571661,1.46213491670882e-21
"164",78,6804,22.7449162148742,-7.22747005619717,2.46037296006782e-13
"165",79,3663,25.9223043665294,-5.0906749017221,1.78395646998729e-07
"166",79,5495,23.941366614276,-6.49181523567161,4.24041154199578e-11
"167",79,19593,19.5138411612306,-9.21406721902268,1.56998196849578e-20
"168",80,1204,33.5282266782493,-1.60601261741638,0.054135568853914
"169",80,3512,26.422966782195,-5.10506174618717,1.65343260330698e-07
"170",80,18111,20.0173745778163,-9.44614971201347,1.75761869749854e-21
"171",81,1203,33.9849861858161,-1.73314957157758,0.0415345437246711
"172",81,1384,32.7214797106514,-2.14113812342746,0.0161314505576462
"173",81,12060,21.579377315552,-8.29665682148693,5.35410679901574e-17
"174",82,7739,23.5562778308541,-7.11108293503579,5.7567961486871e-13
"175",82,8817,23.0274379942126,-7.7899065426758,3.35293886226171e-15
"176",82,18322,20.52986290317,-9.46585815924162,1.45580164288461e-21
"177",83,274,54.0321375975589,1.91188987008613,0.972054839369093
"178",83,15466,21.344055537621,-9.38450664131276,3.16058371784751e-21
"179",84,12055,22.4938613201708,-8.61053258178807,3.63609634419462e-18
"180",85,291,54.9170322907357,1.90070093776632,0.971329402170416
"181",85,13244,22.457320333887,-8.99377988708266,1.19435294930803e-19
"182",85,15094,21.9859313662712,-9.05936640909511,6.56052388694001e-20
"183",85,17249,21.5643376608894,-9.36778821718031,3.70341655982156e-21
"184",86,3660,28.5226359001893,-5.01753335900728,2.61695578374126e-07
"185",86,4986,26.8972690790027,-5.8107262343637,3.11012055991266e-09
"186",86,18649,21.590342795313,-9.54036268714316,7.11668281583699e-22
"187",87,3046,30.0254000349019,-4.31614414179428,7.93891596787148e-06
"188",87,12231,23.3370035270004,-8.19066162569504,1.29897017620469e-16
"189",87,19782,21.68229994307,-9.67309794864724,1.96159348687973e-22
"190",88,11573,23.84765663477,-8.41310733270005,1.9964464172802e-17
"191",88,18653,22.1600462704984,-9.78388048526446,6.60242372453958e-23
"192",91,664,46.2044709407215,0.492827372653004,0.688932716036443
"193",91,3691,30.435871770584,-4.70278047547129,1.28321155806233e-06
"194",91,19794,22.7946375507609,-9.51001412936959,9.53183206378307e-22
"195",92,11162,25.241559697437,-8.31090396086357,4.74878849759887e-17
"196",92,19040,23.2021129177218,-9.51381871963451,9.1894529146917e-22
"197",92,19130,23.1729804289434,-9.53141373072037,7.75778479800842e-22
"198",93,8149,26.9395219214178,-7.49038822166094,3.43350939377544e-14
"199",93,12079,25.2264649148969,-8.50945259437112,8.73782118690183e-18
"200",93,14180,24.577904789592,-8.68562162568988,1.88338384294499e-18
"201",93,19632,23.3779425025391,-9.79645590017177,5.83026465203233e-23
"202",94,9503,26.5639804214771,-7.91628760722129,1.22353599944249e-15
"203",95,13203,25.4349028197766,-8.79313585549117,7.27212150241956e-19
"204",95,18211,24.2217258422563,-10.0094918392982,6.92309539394397e-24
"205",96,11486,26.3726178031716,-8.49404975435294,9.97794071747301e-18
"206",96,12510,25.9800678014744,-8.70971398147609,1.5232125146957e-18
"207",96,17237,24.7114253826039,-9.0485738807796,7.24238273174372e-20
"208",96,18927,24.3647400083121,-9.80426246474812,5.39662890778269e-23
"209",97,9863,27.3598911693915,-7.83724989081574,2.30260501391916e-15
"210",98,5623,30.6152367783873,-5.82519379549761,2.85231816545907e-09
"211",98,13513,26.2821503451152,-8.8136948905566,6.054366221428e-19
"212",98,15152,25.8146032821968,-9.00015110551115,1.1270361312666e-19
"213",98,15521,25.6971139980106,-9.53391964849655,7.57271279308761e-22
"214",99,8719,28.5776388760077,-7.31081438323137,1.32764059725369e-13
"215",100,227,74.0675807201967,2.66009266217982,0.996094042186492
"216",100,2985,35.5887403692656,-3.80233923628377,7.16681380566839e-05
"217",101,2654,36.8941211942578,-3.2356278068578,0.000606877672445969
"218",101,7683,29.9026024500433,-6.81521456831511,4.70615880956542e-12
"219",102,644,53.9053105103472,0.988408090497587,0.838523586603239
"220",102,2231,38.9106976750922,-2.52024942005385,0.00586358516434027
"221",102,12209,27.9508851249519,-8.8626877377824,3.90540633960278e-19
"222",103,3078,36.6515010011093,-3.59199940432053,0.000164075300095811
"223",103,8520,30.07575082142,-7.12264896354359,5.29361132823152e-13
"224",103,11244,28.6395756073734,-8.35377462040889,3.30577220053507e-17
"225",104,1793,41.9784491689339,-1.76721664464598,0.03859597660768
"226",104,8309,30.513483971197,-6.99731817105502,1.3045416631706e-12
"227",104,8566,30.3243647394304,-7.12460548675829,5.21896120186797e-13
"228",104,11389,28.8955253949627,-8.14148087058366,1.95236120156649e-16
"229",105,2242,40.1465277624269,-2.37934076852355,0.00867181717624992
"230",105,9620,30.095045396612,-7.32314838852643,1.21109850929846e-13
"231",106,3787,36.2453694477637,-4.14361652220079,1.7093561912594e-05
"232",106,17980,27.4399037308283,-9.50977682090996,9.55360098416121e-22
"233",107,4660,35.1727405299439,-4.86782034431358,5.64179171286452e-07
"234",107,5545,33.9470244445502,-5.56117330349826,1.33983464295015e-08
"235",107,8288,31.5255840720082,-7.29180336187709,1.52916662089543e-13
"236",107,9882,30.5860293451134,-7.75683796082622,4.35365328988233e-15
"237",107,14917,28.5905918002014,-8.83990516974616,4.78999398582366e-19
"238",108,270,76.9516698086555,2.7783957638987,0.997268598140406
"239",108,6012,33.8538840704715,-6.07494890575531,6.20136027761704e-10
"240",108,13298,29.404886029496,-8.6546797106026,2.47148885095741e-18
"241",109,268,78.2143035417706,2.86680903860153,0.997926834413899
"242",109,5750,34.5046617349464,-5.64223397212866,8.39288879944875e-09
"243",109,8522,32.0462230392201,-7.46816448626712,4.06605768853033e-14
"244",110,325,73.9213235742692,2.68303154601678,0.996352094598651
"245",110,14331,29.6597396432747,-8.57215807108586,5.07817751356487e-18
"246",111,17693,28.9635043546317,-9.55631124879041,6.10143482853894e-22
"247",112,1647,46.8461618681596,-1.10957635684209,0.133590812080746
"248",112,12287,31.0449582772995,-8.4210621152582,1.8654319306111e-17
"249",112,17978,29.203498777884,-9.79976875063687,5.64218445249803e-23
"250",112,19040,28.9129799708689,-9.7995376424533,5.65510796180823e-23
"251",113,9702,32.6637036180945,-7.71560386463949,6.02053782310538e-15
"252",113,15104,30.3115845490892,-9.07294576299762,5.79209767363127e-20
"253",113,16643,29.8486032335378,-9.34893627497171,4.42668043037755e-21
"254",113,17521,29.5943160719834,-9.28996422439101,7.71700973719145e-21
"255",114,2506,43.3746081163238,-2.41632446279623,0.00783904184873734
"256",114,5218,37.0876341769633,-5.13107643796184,1.44044940649412e-07
"257",114,8312,33.91518100939,-6.98491507286171,1.4251417402367e-12
"258",114,16062,30.3172810674156,-9.58780065606064,4.49913000307184e-22
"259",115,8424,34.1592439144608,-6.77799270762032,6.09284995249387e-12
"260",116,3649,40.7828369989246,-3.75182567110622,8.77757603392062e-05
"261",117,3509,41.4539172647386,-3.56000794342516,0.000185421788075077
"262",117,18079,30.6638324149125,-9.43706074693815,1.91691375499341e-21
"263",118,15771,31.6324849963582,-9.07960931675034,5.44826338199825e-20
"264",119,3049,43.6264505612344,-2.94926123830232,0.0015926729760391
"265",119,11934,33.4308889362425,-8.5500434644793,6.15210842205574e-18
"266",119,16163,31.8024640017888,-8.71215864817518,1.49071008518106e-18
"267",120,4273,40.9801886662659,-4.03948302449998,2.67845723599493e-05
"268",120,10262,34.632785982257,-7.52865428531239,2.56329589084232e-14
"269",120,11017,34.2424255335302,-7.6299422124786,1.17429482073976e-14
"270",121,6485,38.0500421409659,-5.57674617009962,1.22529519694435e-08
"271",122,8572,36.4952653932821,-6.58188861192625,2.32254773273943e-11
"272",122,14348,33.3540874290814,-9.07743585547525,5.55813517123807e-20
"273",122,14863,33.1750625277559,-9.37747395525189,3.37860810772668e-21
"274",122,15705,32.8701079301834,-8.92036225292883,2.32382734548213e-19
"275",124,4923,41.3939157883363,-4.6117904034719,1.99607714197074e-06
"276",124,6833,38.8317627985484,-5.77636923152181,3.81648871178015e-09
"277",125,7256,38.7247241164349,-6.25822492699972,1.94691977187429e-10
"278",125,10523,36.1882485435555,-7.25917209865806,1.94733348035257e-13
"279",125,13580,34.6238387247391,-8.18575931091913,1.3529603061284e-16
"280",125,16264,33.5836924862208,-9.35180159105108,4.30836466094889e-21
"281",126,688,69.4686081571131,1.80741400634066,0.964651124145912
"282",126,9840,36.9838033543348,-7.08653177460809,6.87573272381443e-13
"283",127,19143,33.3410392862239,-9.74730625191187,9.47139690223658e-23
"284",128,6109,41.1020677614382,-5.14287819350127,1.35280526443734e-07
"285",128,16041,34.6206345033895,-8.8343113491674,5.03583869468538e-19
"286",129,3621,46.2754322880073,-3.11964290676265,0.00090535202025611
"287",129,7622,39.777124420473,-5.9476515519036,1.36008438889845e-09
"288",129,7729,39.621919578117,-6.13793195369284,4.18013280496164e-10
"289",129,13423,35.9461784130043,-8.09525847471524,2.85714428227406e-16
"290",129,17763,34.3492453669248,-9.46178228479096,1.51369186170896e-21
"291",130,12496,36.7316540308933,-8.0147743770286,5.51696888299316e-16
"292",130,16693,34.9878921128535,-8.93844141749573,1.97348813880207e-19
"293",131,13661,36.4752981263541,-8.14167869244078,1.94917326447764e-16
"294",131,15569,35.7005547454324,-8.87210740827611,3.58872517642905e-19
"295",131,18465,34.7125625668244,-9.00054919499688,1.12295673547181e-19
"296",131,18821,34.6352203520747,-9.41310649738292,2.40842878642295e-21
"297",132,10258,38.713776511977,-6.97084474505145,1.57521748069717e-12
"298",133,18616,35.3020995030184,-9.19349343022084,1.90142997876712e-20
"299",135,14944,37.1917465279901,-8.82204814347068,5.61924556408305e-19
"300",135,17053,36.3889836458726,-9.03592979393607,8.13070249321703e-20
"301",136,1752,58.7211001039565,-0.434817188624881,0.331847563708828
"302",136,2166,55.6749944096497,-1.03057682648693,0.151369653891475
"303",136,2514,53.742700382131,-1.50359089598557,0.0663433683559093
"304",136,19579,35.8875333210785,-9.63256848085158,2.91274058817894e-22
"305",137,9776,40.7482755606856,-6.85277606084226,3.62152133121716e-12
"306",137,13632,38.406173523136,-8.30555136110538,4.96784905285234e-17
"307",138,2871,52.9304889432548,-1.95276320230268,0.0254238303526709
"308",139,7203,43.9235046802809,-5.32023529927854,5.18165649003029e-08
"309",139,16036,38.0048045439421,-8.98393927796965,1.3062097522865e-19
"310",140,4967,47.6990389829275,-4.0386689455484,2.68776847366832e-05
"311",140,18041,37.5784584559736,-8.98298565002856,1.31758455533488e-19
"312",141,7871,43.9187651268546,-5.91252532669004,1.68451011572902e-09
"313",142,10964,41.5989880886744,-7.08697360151598,6.85382587847672e-13
"314",143,1313,67.4215687953852,0.703623023257838,0.759166215223259
"315",144,4078,51.4612252460894,-2.92464366354741,0.00172425429400203
"316",144,16329,39.461515285236,-8.85586932327685,4.15170558876082e-19
"317",144,18466,38.6753462902865,-9.15659555363131,2.67801839504123e-20
"318",145,1888,62.3184460632286,-0.29836176761893,0.382713532961257
"319",145,2003,61.4311588296308,-0.518796965514571,0.30195116712021
"320",145,9418,43.8552069482498,-6.76297868082867,6.75915681227755e-12
"321",146,3935,52.8255126463672,-2.8248371244575,0.00236523277593601
"322",146,12058,42.2399333658486,-7.41038553158556,6.29663894254069e-14
"323",146,14711,40.8423286454382,-8.37228079740866,2.82567914608473e-17
"324",146,15314,40.5488247201952,-8.33876547479622,3.7535066460688e-17
"325",147,7646,46.3537711796021,-5.52723706898584,1.62656621171824e-08
"326",148,7936,46.4031084597169,-5.68503094816602,6.53944864792616e-09
"327",148,8493,45.8172310934745,-5.80600599254145,3.19903364079883e-09
"328",149,7396,47.3992637180941,-5.22138066709125,8.87970271441418e-08
"329",149,9725,44.9713515962388,-6.39801522807137,7.8704796211734e-11
"330",149,11305,43.8065067106345,-7.15825793089698,4.08543561791418e-13
"331",149,11732,43.4516686334157,-7.48635964360263,3.54050966927298e-14
"332",150,5018,51.6917860889513,-3.76295001429929,8.39603871873193e-05
"333",150,9767,45.3209082087279,-6.52046368346932,3.50451883602995e-11
"334",150,10413,44.8259699376032,-6.84904449783899,3.71724356385149e-12
"335",151,14893,42.3589076820628,-8.20009356436601,1.20100002108213e-16
"336",151,16386,41.6504405760793,-8.74147105324671,1.15047243273845e-18
"337",151,16918,41.4167885863579,-9.01687922374419,9.67617938164816e-20
"338",152,11469,44.698282140955,-7.13622553413054,4.79642833746503e-13
"339",154,3753,56.8522743950854,-2.40209232920165,0.00815079667992846
"340",154,12217,44.8672046316475,-7.43193693844838,5.35094115704829e-14
"341",154,14335,43.5945313016243,-7.85547152965594,1.99135476831445e-15
"342",155,2564,62.6924181702224,-1.0133520080194,0.155446027038809
"343",155,4476,55.1837727113082,-3.05820704926305,0.00111332835419717
"344",155,6730,50.5813684790666,-4.90104198707333,4.7664838822299e-07
"345",155,14006,44.0896031658553,-7.92555187545077,1.13567651737159e-15
"346",156,603,95.9941988598714,3.34615330541027,0.99959029460966
"347",156,7605,49.7823159018977,-5.34584766176796,4.4997438494944e-08
"348",156,7692,49.6517697129397,-5.33902435954742,4.67240446801755e-08
"349",156,11624,45.9182854187512,-6.99099023635069,1.36476379539066e-12
"350",156,14779,44.0123721521156,-8.28567624616928,5.87199269651352e-17
"351",157,5777,52.976426533834,-3.88119785930165,5.19716153539977e-05
"352",157,7056,50.9104860371563,-4.79174784014926,8.26673093611083e-07
"353",158,1042,82.0220993391173,1.86368583427626,0.968817082075479
"354",158,17761,43.283295987396,-9.07196923711401,5.84425527808696e-20
"355",159,5260,54.8312863195052,-3.64803817059696,0.000132125193057056
"356",159,6207,52.992893150559,-4.39162376583989,5.62536310450713e-06
"357",159,13516,45.7176985808211,-7.7375841573853,5.06618066161439e-15
"358",160,12579,46.6190509715057,-7.11074755331215,5.77080408685307e-13
"359",161,10298,48.7608520987405,-6.33772336293513,1.16592509455558e-10
"360",162,3765,60.3846207970051,-2.0343260372406,0.0209593668296536
"361",162,8301,51.1525312457367,-5.58174852539847,1.19056248323516e-08
"362",163,17188,45.1202102402885,-8.46579908222002,1.27201197200208e-17
"363",163,18103,44.7557778983441,-8.78863592003856,7.56934022245731e-19
"364",164,3805,61.1642778285539,-2.06909829006615,0.0192684320847307
"365",165,381,120.674028440198,3.7180661142493,0.999899623131929
"366",165,5047,57.9155528393036,-3.16030792640212,0.000788012396604982
"367",165,6257,55.2826132010382,-4.09006297780377,2.15628037203328e-05
"368",165,7191,53.7720240060218,-4.87471593278254,5.44825690831905e-07
"369",165,13529,47.7369112390212,-7.32281830329987,1.21408237888397e-13
"370",166,13336,48.1618810611223,-7.70239278370313,6.67708272525059e-15
"371",166,14770,47.2670073071074,-7.90341749188548,1.3567939907391e-15
"372",166,18154,45.6572209716496,-9.1900964028477,1.9624472722262e-20
"373",167,3929,62.0553957828622,-2.14372970230327,0.0160272754188684
"374",167,19630,45.3302573185275,-9.07402109885049,5.73519459227311e-20
"375",168,17897,46.3998887642222,-8.83156842790935,5.16090103632879e-19
"376",170,7715,54.8866010668379,-4.73989123057359,1.06916488261191e-06
"377",171,12154,50.6940642308805,-6.78607006046371,5.76146050790425e-12
"378",171,14155,49.3151170380742,-7.63902402092775,1.0943723746573e-14
"379",171,14341,49.1978106341134,-7.48416310511274,3.60022433323077e-14
"380",171,14511,49.0906062330461,-7.74221412874672,4.88501320362896e-15
"381",172,2517,71.7199067785157,-0.439959938179456,0.329983061571128
"382",172,6990,56.7249923888923,-4.41190542673125,5.12324355548842e-06
"383",172,14735,49.2797755856752,-7.83050712485558,2.4295299940309e-15
"384",173,14259,49.9601366816538,-7.45627322723954,4.45020396027701e-14
"385",174,8731,55.0287459383868,-5.22989423236987,8.48035237049355e-08
"386",175,12842,51.5798852288407,-7.11280797122347,5.68527181038846e-13
"387",176,6481,59.287872737696,-3.90780845663881,4.65685480661255e-05
"388",176,13165,51.6595962322222,-7.05950635700152,8.35475667631135e-13
"389",176,19805,48.1029120161216,-8.89343214158402,2.96249248933203e-19
"390",177,4232,65.4283560605814,-2.08126105549076,0.018705008870241
"391",177,19232,48.6596226278617,-8.40232224339686,2.18867330123754e-17
"392",178,4857,63.9478769467631,-2.55678390502045,0.00528224116432519
"393",178,6226,60.6359415020899,-3.7157418601765,0.000101304176699359
"394",178,17145,49.9658283971391,-8.1831562294869,1.38252151521319e-16
"395",178,17983,49.5526580177731,-8.28093673764498,6.11050515690697e-17
"396",179,7919,58.0944162091626,-4.69706826677893,1.31961130817569e-06
"397",179,17649,49.9887210754164,-8.48936500533471,1.03884602032477e-17
"398",180,4916,64.6510931784366,-2.71214129544256,0.00334250452857034
"399",180,6389,61.0939979294929,-3.88787382831122,5.05630835147578e-05
